2013 Ranking,2015 Ranking,Country,Excel Calculated Curve,Excel Sigmoid,Excel Size,color,t
7,9,Belize,7.364851047612713,0.18242552380635635,2,2,-1.5
7,9,Belize,7.53788284273999,0.2689414213699951,2,2,-1.0
7,9,Belize,7.755081337596291,0.3775406687981454,2,2,-0.5
7,9,Belize,8.0,0.5,2,2,0.0
7,9,Belize,8.244918662403709,0.6224593312018546,2,2,0.5
7,9,Belize,8.46211715726001,0.7310585786300049,2,2,1.0
7,9,Belize,8.635148952387286,0.8175744761936437,2,2,1.5
7,9,Belize,8.761594155955764,0.8807970779778823,2,2,2.0
7,9,Belize,8.848283639957513,0.9241418199787566,2,2,2.5
7,9,Belize,8.905148253644867,0.9525741268224334,2,2,3.0
7,9,Belize,8.941375538497287,0.9706877692486436,2,2,3.5
7,9,Belize,8.964027580075816,0.9820137900379085,2,2,4.0
7,9,Belize,8.978026114738814,0.9890130573694068,2,2,4.5
7,9,Belize,8.98661429815143,0.9933071490757153,2,2,5.0
7,9,Belize,8.991859724568208,0.995929862284104,2,2,5.5
8,10,The Gambia,8.00494524631327,0.0024726231566347743,2,2,-6.0
8,10,The Gambia,8.008140275431792,0.004070137715896128,2,2,-5.5
8,10,The Gambia,8.01338570184857,0.0066928509242848554,2,2,-5.0
8,10,The Gambia,8.021973885261186,0.01098694263059318,2,2,-4.5
8,10,The Gambia,8.035972419924184,0.01798620996209156,2,2,-4.0
8,10,The Gambia,8.058624461502713,0.02931223075135632,2,2,-3.5
8,10,The Gambia,8.094851746355134,0.04742587317756678,2,2,-3.0
8,10,The Gambia,8.151716360042487,0.07585818002124355,2,2,-2.5
8,10,The Gambia,8.238405844044236,0.11920292202211755,2,2,-2.0
8,10,The Gambia,8.364851047612714,0.18242552380635635,2,2,-1.5
8,10,The Gambia,8.53788284273999,0.2689414213699951,2,2,-1.0
8,10,The Gambia,8.755081337596291,0.3775406687981454,2,2,-0.5
8,10,The Gambia,9.0,0.5,2,2,0.0
8,10,The Gambia,9.244918662403709,0.6224593312018546,2,2,0.5
8,10,The Gambia,9.46211715726001,0.7310585786300049,2,2,1.0
8,10,The Gambia,9.635148952387286,0.8175744761936437,2,2,1.5
8,10,The Gambia,9.761594155955764,0.8807970779778823,2,2,2.0
8,10,The Gambia,9.848283639957513,0.9241418199787566,2,2,2.5
8,10,The Gambia,9.905148253644867,0.9525741268224334,2,2,3.0
8,10,The Gambia,9.941375538497287,0.9706877692486436,2,2,3.5
8,10,The Gambia,9.964027580075816,0.9820137900379085,2,2,4.0
8,10,The Gambia,9.978026114738814,0.9890130573694068,2,2,4.5
8,10,The Gambia,9.98661429815143,0.9933071490757153,2,2,5.0
8,10,The Gambia,9.991859724568208,0.995929862284104,2,2,5.5
9,6,Grenada,8.992582130530096,0.0024726231566347743,3,-3,-6.0
